store_id,retailer,retailer_key,address,zip_code,full_address,latitude,longitude,geocode_source,geocode_confidence
3696,Star Market,starmarket,90 Causeway St,02114,"90 Causeway St, Boston, MA 02114",42.3611,-71.0682,zip_centroid,zip_centroid
602,Star Market,starmarket,53 Huntington Ave,02199,"53 Huntington Ave, Boston, MA 02199",42.3479,-71.0825,zip_centroid,zip_centroid
3580,Star Market,starmarket,14 Mcgrath Hwy,02143,"14 Mcgrath Hwy, Somerville, MA 02143",42.3829,-71.1028,zip_centroid,zip_centroid
2576,Star Market,starmarket,33 Kilmarnock St,02215,"33 Kilmarnock St, Boston, MA 02215",42.3471,-71.1027,zip_centroid,zip_centroid
1208,Shaw's,shaws,246 Border St,02128,"246 Border St, East Boston, MA 02128",42.3642,-71.0257,zip_centroid,zip_centroid
4587,Star Market,starmarket,45 Morrissey Blvd,02125,"45 Morrissey Blvd, Dorchester, MA 02125",42.2973,-71.0745,zip_centroid,zip_centroid
3588,Star Market,starmarket,1065 Commonwealth Ave,02215,"1065 Commonwealth Ave, Boston, MA 02215",42.3471,-71.1027,zip_centroid,zip_centroid
2575,Star Market,starmarket,275 Beacon St,02143,"275 Beacon St, Somerville, MA 02143",42.3829,-71.1028,zip_centroid,zip_centroid
163,Star Market,starmarket,49 White St,02140,"49 White St, Cambridge, MA 02140",42.3932,-71.1338,zip_centroid,zip_centroid
4572,Star Market,starmarket,370 Western Ave,02135,"370 Western Ave, Brighton, MA 02135",42.3478,-71.1566,zip_centroid,zip_centroid
3566,Star Market,starmarket,1717 Beacon St,02445,"1717 Beacon St, Brookline, MA 02445",42.3259,-71.1341,zip_centroid,zip_centroid
2565,Star Market,starmarket,699 Mt Auburn St,02138,"699 Mt Auburn St, Cambridge, MA 02138",42.377,-71.1256,zip_centroid,zip_centroid
645,Star Market,starmarket,1 Boylston St,02467,"1 Boylston St, Chestnut Hill, MA 02467",42.3164,-71.1612,zip_centroid,zip_centroid
604,Star Market,starmarket,4 River St,02124,"4 River St, Dorchester, MA 02124",42.2918,-71.0717,zip_centroid,zip_centroid
2583,Star Market,starmarket,535 Trapelo Rd,02478,"535 Trapelo Rd, Belmont, MA 02478",42.3959,-71.1787,zip_centroid,zip_centroid
3507,Shaw's,shaws,34 Essex St,02176,"34 Essex St, Melrose, MA 02176",42.4581,-71.0632,zip_centroid,zip_centroid
3577,Star Market,starmarket,75 Spring St,02132,"75 Spring St, West Roxbury, MA 02132",42.2787,-71.1589,zip_centroid,zip_centroid
3561,Star Market,starmarket,33 Austin St,02460,"33 Austin St, Newtonville, MA 02460",42.352,-71.2084,zip_centroid,zip_centroid
2579,Shaw's,shaws,1377 Hyde Park Ave,02136,"1377 Hyde Park Ave, Hyde Park, MA 02136",42.254,-71.1261,zip_centroid,zip_centroid
1497,Shaw's,shaws,130 River St,02453,"130 River St, Waltham, MA 02453",42.3654,-71.2317,zip_centroid,zip_centroid
2573,Star Market,starmarket,130 Granite St,02169,"130 Granite St, Quincy, MA 02169",42.2491,-70.9978,zip_centroid,zip_centroid
426,Star Market,starmarket,795 Providence Hwy,02026,"795 Providence Hwy, Dedham, MA 02026",42.2437,-71.1637,zip_centroid,zip_centroid
4568,Star Market,starmarket,2040 Commonwealth Ave,02466,"2040 Commonwealth Ave, Auburndale, MA 02466",42.3441,-71.248,zip_centroid,zip_centroid
1404,Shaw's,shaws,125 Pearl St,02184,"125 Pearl St, Braintree, MA 02184",42.2093,-70.9963,zip_centroid,zip_centroid
3413,Shaw's,shaws,610 Middle St,02189,"610 Middle St, Weymouth, MA 02189",42.214,-70.9203,zip_centroid,zip_centroid
1416,Shaw's,shaws,121 Memorial Pkwy,02368,"121 Memorial Pkwy, Randolph, MA 02368",42.1736,-71.0514,zip_centroid,zip_centroid
3648,Shaw's,shaws,134 Water St,01880,"134 Water St, Wakefield, MA 01880",42.5009,-71.0685,zip_centroid,zip_centroid
3567,Shaw's,shaws,134 Nahatan St,02062,"134 Nahatan St, Norwood, MA 02062",42.1868,-71.2033,zip_centroid,zip_centroid
2569,Star Market,starmarket,1070 Lexington St,02452,"1070 Lexington St, Waltham, MA 02452",42.3943,-71.218,zip_centroid,zip_centroid
428,Shaw's,shaws,95 Washington St,02021,"95 Washington St, Canton, MA 02021",42.1645,-71.1355,zip_centroid,zip_centroid
2493,Shaw's,shaws,11 Traders Way,01970,"11 Traders Way, Salem, MA 01970",42.5151,-70.9003,zip_centroid,zip_centroid
495,Shaw's,shaws,180 A Cambridge St,01803,"180 A Cambridge St, Burlington, MA 01803",42.5089,-71.2004,zip_centroid,zip_centroid
